Sample number,Initial Temperature,WHC,Stage,Stage name,Extractable C (ug C/g soil),Extractable N (ug N/g soil),ubial C (ug C/g soil),ubial N (ug N/g soil),ubial C/N
PT-1,NA,14,1,pre treatment,490.8155221,108.8163424,376.5885727,71.54851895,5.26340137
PT-2,NA,14,1,pre treatment,481.7009945,104.9009233,387.6645077,75.18283013,5.156290432
PT-3,NA,14,1,pre treatment,479.9742898,104.4945502,423.720831,86.7609754,4.8837721
PT-4,NA,14,1,pre treatment,480.5084641,108.708169,419.4750065,49.03984802,8.553758288
PT-5,NA,14,1,pre treatment,481.2532947,106.2190725,387.006277,75.96642219,5.094438646
37,NA,90,2,Only water,507.4285511,83.67190281,374.8565363,93.58983769,4.005312388
38,NA,90,2,Only water,484.7687652,89.96922114,521.8059078,142.2034195,3.669432912
39,NA,90,2,Only water,589.6791493,113.0037761,300.2213409,87.44829345,3.433129785
40,NA,50,2,Only water,476.7552564,115.3059544,557.9026867,142.7659005,3.907814714
41,NA,50,2,Only water,464.9537058,109.731563,414.2569542,109.935954,3.768166274
42,NA,50,2,Only water,521.3291371,110.1285695,470.7785477,120.8883575,3.894324958
43,NA,20,2,Only water,484.4695747,163.2988541,426.708994,81.50705447,5.235240027
44,NA,20,2,Only water,557.5496435,189.738054,270.980189,41.85528053,6.474217485
45,NA,20,2,Only water,596.3364355,169.027325,394.4500639,93.5187475,4.217871544
46,35,90,3,25C and 35C,479.5801943,64.73930531,231.0237669,84.53094452,2.733008228
47,35,90,3,25C and 35C,465.2079238,60.60214461,469.2599509,120.0997887,3.907250429
48,35,90,3,25C and 35C,476.9408847,83.80005992,303.8259279,91.26256834,3.32914067
49,35,50,3,25C and 35C,515.9320789,125.7938116,361.9879261,206.8292838,1.750177341
50,35,50,3,25C and 35C,453.6002816,107.8543487,389.6497584,116.0353912,3.35802512
51,35,50,3,25C and 35C,342.9829183,106.5082456,527.6781229,104.9432157,5.028225212
52,35,20,3,25C and 35C,667.5780455,249.7331086,188.1044919,62.83054815,2.993838147
53,35,20,3,25C and 35C,524.2865036,208.510843,47.29746303,54.04187246,0.875200301
54,35,20,3,25C and 35C,508.1087608,217.2299602,287.1831139,48.83354026,5.88085796
55,25,90,3,25C and 35C,481.1316264,79.88307866,279.6414629,84.20748603,3.320862266
56,25,90,3,25C and 35C,466.9459863,68.50134183,426.3746327,96.53433224,4.416818584
57,25,90,3,25C and 35C,593.1692499,110.5262214,560.9877366,123.3182629,4.549105083
58,25,50,3,25C and 35C,471.9383443,115.1182699,281.490502,76.10346375,3.698786996
59,25,50,3,25C and 35C,446.0441048,111.3519533,366.5812999,97.77232336,3.749336084
60,25,50,3,25C and 35C,500.7465842,120.9405004,226.3705125,80.75513453,2.803171759
61,25,20,3,25C and 35C,546.7921608,198.3614354,191.1909796,0,
62,25,20,3,25C and 35C,568.6937715,203.3320368,145.9347092,19.6730883,7.417986794
63,25,20,3,25C and 35C,547.3797228,197.5815542,136.5562757,19.86371538,6.874659302
64,25,90,4,30C,454.0743163,75.916941,416.4048613,112.7841257,3.692052039
65,25,90,4,30C,482.8406717,100.470738,383.3328623,65.99036778,5.808921442
66,25,90,4,30C,433.6466054,54.83997016,424.7696327,93.84812669,4.526138642
67,25,50,4,30C,437.4208321,100.3142038,507.0312367,100.8125665,5.029444785
68,25,50,4,30C,480.9408983,116.7329834,530.9089956,88.84245392,5.975847944
69,25,50,4,30C,502.8359838,102.226654,387.720587,93.86887296,4.130448942
70,25,20,4,30C,523.9311903,183.2228003,206.7159326,75.97245084,2.720932789
71,25,20,4,30C,553.970327,236.7308945,209.6473814,30.92034999,6.780239599
72,25,20,4,30C,479.142227,213.6156253,292.4927612,55.78640294,5.243083364
73,35,90,4,30C,491.6976113,58.01974186,409.4319943,119.2043846,3.434705826
74,35,90,4,30C,443.717612,62.06281022,532.0129497,150.0437213,3.545719507
75,35,90,4,30C,478.99745,67.78315932,434.6198247,98.73235183,4.402000121
76,35,50,4,30C,433.6301693,133.0146854,427.1780911,80.10323916,5.332844159
77,35,50,4,30C,527.8062102,128.800646,340.0794967,121.3300038,2.802929911
78,35,50,4,30C,486.529114,133.6419055,350.5411643,90.63943102,3.867424589
79,35,20,4,30C,465.1614554,243.3886325,310.350052,36.94345256,8.400678077
80,35,20,4,30C,477.2644779,188.9243072,324.6573256,72.71429613,4.46483488
81,35,20,4,30C,446.184957,218.5539209,353.602804,94.45304033,3.743688957
1,25,90,5,Wet-up,490.2314637,64.3613782,339.057243,80.87984233,4.192110583
2,25,90,5,Wet-up,537.9738124,84.73033654,315.5367306,83.09934765,3.797102378
3,25,90,5,Wet-up,484.2740228,70.35447615,178.2179586,75.34157142,2.365466438
4,25,90,NA,Not sampled,,,,,
5,25,90,NA,Not sampled,,,,,
6,25,90,NA,Not sampled,,,,,
7,25,50,5,Wet-up,415.0523458,82.99528335,413.6224435,107.6518416,3.842223572
8,25,50,5,Wet-up,483.7173245,108.7147841,416.9833865,99.16471126,4.2049574
9,25,50,5,Wet-up,422.9066489,91.75341003,391.7131077,89.15562811,4.393588111
10,25,50,NA,Not sampled,,,,,
11,25,50,NA,Not sampled,,,,,
12,25,50,NA,Not sampled,,,,,
13,25,20,5,Wet-up,493.6959783,106.6626972,196.4082819,64.35471957,3.051963915
14,25,20,5,Wet-up,496.5808488,101.0292276,289.2716285,86.88575624,3.32933315
15,25,20,5,Wet-up,545.5273028,118.8935239,184.6720474,43.91081503,4.205616483
16,25,20,NA,Not sampled,,,,,
17,25,20,NA,Not sampled,,,,,
18,25,20,NA,Not sampled,,,,,
19,35,90,5,Wet-up,426.3511393,106.7591554,270.0738725,81.09347133,3.330402166
20,35,90,5,Wet-up,462.1822043,70.11322017,180.312365,69.654138,2.588681307
21,35,90,5,Wet-up,453.2336228,110.2243331,248.4438005,87.77759375,2.830378345
22,35,90,NA,Not sampled,,,,,
23,35,90,NA,Not sampled,,,,,
24,35,90,NA,Not sampled,,,,,
25,35,50,5,Wet-up,439.2100488,139.1508436,156.4633365,54.21234507,2.886120059
26,35,50,5,Wet-up,456.256172,128.1329498,275.9288052,79.37563688,3.47624052
27,35,50,5,Wet-up,499.5606754,152.8255305,314.209648,54.80173731,5.73357093
28,35,50,NA,Not sampled,,,,,
29,35,50,NA,Not sampled,,,,,
30,35,50,NA,Not sampled,,,,,
31,35,20,5,Wet-up,576.1374044,147.75938,338.0676798,58.62014184,5.767090785
32,35,20,5,Wet-up,498.8163034,123.4082552,480.8901736,117.0488867,4.108455769
33,35,20,5,Wet-up,721.1398041,190.0072528,339.8196717,71.21159846,4.771970845
34,35,20,NA,Not sampled,,,,,
35,35,20,NA,Not sampled,,,,,
36,35,20,NA,Not sampled,,,,,