Model,JarID,Time,Label,treatment,WHC,Temperature,Date,WET_UP_stage,finalC02flux_gSoil_hr,WET_UP_stage_correct
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151100_01,1,15H 11M 0S,25-90,90-25,90,25,2024-07-16,NA,0.153976472560747,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T151600_02,2,15H 16M 0S,25-90,90-25,90,25,2024-07-16,NA,0.232792767273279,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152100_03,3,15H 21M 0S,25-90,90-25,90,25,2024-07-16,NA,0.122631096330839,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T152400_04,4,15H 24M 0S,25-90,90-25,90,25,2024-07-16,NA,0.220662975171287,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153100_05,5,15H 31M 0S,25-90,90-25,90,25,2024-07-16,NA,0.279856231517714,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T153600_06,6,15H 36M 0S,25-90,90-25,90,25,2024-07-16,NA,0.703822011932335,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154100_07,7,15H 41M 0S,25-50,50-25,50,25,2024-07-16,NA,0.644139847711393,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154500_08,8,15H 45M 0S,25-50,50-25,50,25,2024-07-16,NA,0.478860503540088,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T154900_09,9,15H 49M 0S,25-50,50-25,50,25,2024-07-16,NA,0.50766878943452,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155300_10,10,15H 53M 0S,25-50,50-25,50,25,2024-07-16,NA,0.66771073019032,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T155700_11,11,15H 57M 0S,25-50,50-25,50,25,2024-07-16,NA,0.599114173950792,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T161700_12,12,16H 17M 0S,25-50,50-25,50,25,2024-07-16,NA,0.232988825184684,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162200_13,13,16H 22M 0S,25-20,20-25,20,25,2024-07-16,NA,0.167549667239051,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T162700_14,14,16H 27M 0S,25-20,20-25,20,25,2024-07-16,NA,0.18554904203383699,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163200_15,15,16H 32M 0S,25-20,20-25,20,25,2024-07-16,NA,0.101800820861238,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T163600_16,16,16H 36M 0S,25-20,20-25,20,25,2024-07-16,NA,0.119793945613691,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164100_17,17,16H 41M 0S,25-20,20-25,20,25,2024-07-16,NA,0.260331631409614,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T164600_18,18,16H 46M 0S,25-20,20-25,20,25,2024-07-16,NA,0.163495122446184,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165200_19,19,16H 52M 0S,25-90,90-35,90,35,2024-07-16,NA,0.415791482631038,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T165700_20,20,16H 57M 0S,25-90,90-35,90,35,2024-07-16,NA,0.179835200944981,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170300_21,21,17H 3M 0S,25-90,90-35,90,35,2024-07-16,NA,0.122783920504627,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T170800_22,22,17H 8M 0S,25-90,90-35,90,35,2024-07-16,NA,0.347930000395287,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T171500_23,23,17H 15M 0S,25-90,90-35,90,35,2024-07-16,NA,0.522479972088795,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172000_24,24,17H 20M 0S,25-90,90-35,90,35,2024-07-16,NA,0.274548917892839,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T172500_25,25,17H 25M 0S,25-50,50-35,50,35,2024-07-16,NA,0.627145704115593,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173100_26,26,17H 31M 0S,25-50,50-35,50,35,2024-07-16,NA,0.461262483970053,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T173600_27,27,17H 36M 0S,25-50,50-35,50,35,2024-07-16,NA,0.478392674719357,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T174200_28,28,17H 42M 0S,25-50,50-35,50,35,2024-07-16,NA,0.673159265059525,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T174900_29,29,17H 49M 0S,25-50,50-35,50,35,2024-07-16,NA,0.280649049499435,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T175300_30,30,17H 53M 0S,25-50,50-35,50,35,2024-07-16,NA,0.496652394624462,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180000_31,31,18H 0M 0S,25-20,20-35,20,35,2024-07-16,NA,0.210354754207385,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180400_32,32,18H 4M 0S,25-20,20-35,20,35,2024-07-16,NA,0.149836684468174,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T180900_33,33,18H 9M 0S,25-20,20-35,20,35,2024-07-16,NA,0.181072785840671,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T181400_34,34,18H 14M 0S,25-20,20-35,20,35,2024-07-16,NA,0.158251612873157,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T181900_35,35,18H 19M 0S,25-20,20-35,20,35,2024-07-16,NA,0.126748670582195,NA
16-July-2024 (Day 1)/TG10-01136-2024-07-16T182500_36,36,18H 25M 0S,25-20,20-35,20,35,2024-07-16,NA,0.122308289941222,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T092600_01,1,9H 26M 0S,25-90,90-25,90,25,2024-07-17,NA,0.137152933858402,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T093200_02,2,9H 32M 0S,25-90,90-25,90,25,2024-07-17,NA,0.233232863713936,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T093800_03,3,9H 38M 0S,25-90,90-25,90,25,2024-07-17,NA,0.192968361793992,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T094400_04,4,9H 44M 0S,25-90,90-25,90,25,2024-07-17,NA,0.228035080157556,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T095000_05,5,9H 50M 0S,25-90,90-25,90,25,2024-07-17,NA,0.368587578616061,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T095700_06,6,9H 57M 0S,25-90,90-25,90,25,2024-07-17,NA,0.28972607731614203,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T100300_07,7,10H 3M 0S,25-50,50-25,50,25,2024-07-17,NA,0.486003784606594,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T100700_08,8,10H 7M 0S,25-50,50-25,50,25,2024-07-17,NA,0.710334121278216,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T101200_09,9,10H 12M 0S,25-50,50-25,50,25,2024-07-17,NA,0.493168893199025,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T101700_10,10,10H 17M 0S,25-50,50-25,50,25,2024-07-17,NA,0.699023992294772,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T102100_11,11,10H 21M 0S,25-50,50-25,50,25,2024-07-17,NA,0.736874982555137,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T102700_12,12,10H 27M 0S,25-50,50-25,50,25,2024-07-17,NA,0.743181862509564,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T103300_13,13,10H 33M 0S,25-20,20-25,20,25,2024-07-17,NA,0.210841799243089,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T103900_14,14,10H 39M 0S,25-20,20-25,20,25,2024-07-17,NA,0.223386940886202,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T104500_15,15,10H 45M 0S,25-20,20-25,20,25,2024-07-17,NA,0.218583948716996,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T104900_16,16,10H 49M 0S,25-20,20-25,20,25,2024-07-17,NA,0.215181523411762,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T105000_17,17,10H 50M 0S,25-20,20-25,20,25,2024-07-17,NA,0.257796775540137,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T110100_18,18,11H 1M 0S,25-20,20-25,20,25,2024-07-17,NA,0.237649695652293,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T110600_19,19,11H 6M 0S,25-90,90-35,90,35,2024-07-17,NA,0.249691119620144,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T111100_20,20,11H 11M 0S,25-90,90-35,90,35,2024-07-17,NA,0.159500951235094,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T111800_21,21,11H 18M 0S,25-90,90-35,90,35,2024-07-17,NA,0.14072478877712,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T112500_22,22,11H 25M 0S,25-90,90-35,90,35,2024-07-17,NA,0.479126940243866,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T112900_23,23,11H 29M 0S,25-90,90-35,90,35,2024-07-17,NA,0.573694594428606,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T113500_24,24,11H 35M 0S,25-90,90-35,90,35,2024-07-17,NA,0.311730452969625,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T114000_25,25,11H 40M 0S,25-50,50-35,50,35,2024-07-17,NA,0.686147677695486,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T114600_26,26,11H 46M 0S,25-50,50-35,50,35,2024-07-17,NA,0.550061609614397,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115100_27,27,11H 51M 0S,25-50,50-35,50,35,2024-07-17,NA,0.513242915224109,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115500_28,28,11H 55M 0S,25-50,50-35,50,35,2024-07-17,NA,0.712021548642671,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T115900_29,29,11H 59M 0S,25-50,50-35,50,35,2024-07-17,NA,0.676643611847603,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T120600_30,30,12H 6M 0S,25-50,50-35,50,35,2024-07-17,NA,0.428371330954133,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T121200_31,31,12H 12M 0S,25-20,20-35,20,35,2024-07-17,NA,0.175119356460895,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T121700_32,32,12H 17M 0S,25-20,20-35,20,35,2024-07-17,NA,0.27931495742483903,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T122300_33,33,12H 23M 0S,25-20,20-35,20,35,2024-07-17,NA,0.274970613325448,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T122800_34,34,12H 28M 0S,25-20,20-35,20,35,2024-07-17,NA,0.310073206862107,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T123400_35,35,12H 34M 0S,25-20,20-35,20,35,2024-07-17,NA,0.337917101767952,NA
17-July-2024 (Day 2)/TG10-01136-2024-07-17T123900_36,36,12H 39M 0S,25-20,20-35,20,35,2024-07-17,NA,0.283320649075192,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T102800_01,1,10H 28M 0S,25-90,90-25,90,25,2024-07-20,NA,0.120031981523106,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T103400_02,2,10H 34M 0S,25-90,90-25,90,25,2024-07-20,NA,0.274480774090976,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T104000_03,3,10H 40M 0S,25-90,90-25,90,25,2024-07-20,NA,0.139302139847471,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T104600_04,4,10H 46M 0S,25-90,90-25,90,25,2024-07-20,NA,0.191655593550684,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T105600_05,5,10H 56M 0S,25-90,90-25,90,25,2024-07-20,NA,0.183765792573716,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T110100_06,6,11H 1M 0S,25-90,90-25,90,25,2024-07-20,NA,0.187682315652975,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T110800_07,7,11H 8M 0S,25-50,50-25,50,25,2024-07-20,NA,0.454185415049165,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T111300_08,8,11H 13M 0S,25-50,50-25,50,25,2024-07-20,NA,0.588966266190849,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T112300_09,9,11H 23M 0S,25-50,50-25,50,25,2024-07-20,NA,0.383224265325021,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T112900_10,10,11H 29M 0S,25-50,50-25,50,25,2024-07-20,NA,0.46107823921189,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T113300_11,11,11H 33M 0S,25-50,50-25,50,25,2024-07-20,NA,0.436156650822446,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T113900_12,12,11H 39M 0S,25-50,50-25,50,25,2024-07-20,NA,0.52155272524712,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T114500_13,13,11H 45M 0S,25-20,20-25,20,25,2024-07-20,NA,0.146082587002413,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T114900_14,14,11H 49M 0S,25-20,20-25,20,25,2024-07-20,NA,0.12470452275027,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T115400_15,15,11H 54M 0S,25-20,20-25,20,25,2024-07-20,NA,0.139663478361768,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T115800_16,16,11H 58M 0S,25-20,20-25,20,25,2024-07-20,NA,0.143017197877346,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T120400_17,17,12H 4M 0S,25-20,20-25,20,25,2024-07-20,NA,0.210888362132269,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T120900_18,18,12H 9M 0S,25-20,20-25,20,25,2024-07-20,NA,0.194528340065522,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T123800_19,19,12H 38M 0S,35-90,90-35,90,35,2024-07-20,NA,0.420842326100733,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T124400_20,20,12H 44M 0S,35-90,90-35,90,35,2024-07-20,NA,0.357845055870677,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T125000_21,21,12H 50M 0S,35-90,90-35,90,35,2024-07-20,NA,0.67593779198385,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T125500_22,22,12H 55M 0S,35-90,90-35,90,35,2024-07-20,NA,0.458034999447303,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T130100_23,23,13H 1M 0S,35-90,90-35,90,35,2024-07-20,NA,0.809529086090742,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T130700_24,24,13H 7M 0S,35-90,90-35,90,35,2024-07-20,NA,0.365257211146829,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T131300_25,25,13H 13M 0S,35-50,50-35,50,35,2024-07-20,NA,1.38166437658878,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T132200_26,26,13H 22M 0S,35-50,50-35,50,35,2024-07-20,NA,0.836622231811989,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T133000_27,27,13H 30M 0S,35-50,50-35,50,35,2024-07-20,NA,1.62974355025075,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T133800_28,28,13H 38M 0S,35-50,50-35,50,35,2024-07-20,NA,1.18563781532837,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T134300_29,29,13H 43M 0S,35-50,50-35,50,35,2024-07-20,NA,0.933023959149573,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T134800_30,30,13H 48M 0S,35-50,50-35,50,35,2024-07-20,NA,0.93485042324406,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T135500_31,31,13H 55M 0S,35-20,20-35,20,35,2024-07-20,NA,0.244293773355198,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T135900_32,32,13H 59M 0S,35-20,20-35,20,35,2024-07-20,NA,0.312183420830218,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T140700_33,33,14H 7M 0S,35-20,20-35,20,35,2024-07-20,NA,0.231499387467481,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T141100_34,34,14H 11M 0S,35-20,20-35,20,35,2024-07-20,NA,0.162657764405493,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T142100_35,35,14H 21M 0S,35-20,20-35,20,35,2024-07-20,NA,0.20619006664682,NA
20-July-2024 (Day 5)/TG10-01136-2024-07-20T142700_36,36,14H 27M 0S,35-20,20-35,20,35,2024-07-20,NA,0.389209011898603,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T113700_01,1,11H 37M 0S,25-90,90-25,90,25,2024-07-22,NA,0.0904749322065639,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T115200_02,2,11H 52M 0S,25-90,90-25,90,25,2024-07-22,NA,0.113274340830192,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T132100_03,3,13H 21M 0S,25-90,90-25,90,25,2024-07-22,NA,0.244786690971089,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T132500_04,4,13H 25M 0S,25-90,90-25,90,25,2024-07-22,NA,0.142574471402196,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T133600_05,5,13H 36M 0S,25-90,90-25,90,25,2024-07-22,NA,0.161070514493049,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T134100_06,6,13H 41M 0S,25-90,90-25,90,25,2024-07-22,NA,0.15897168122948999,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T134800_19,19,13H 48M 0S,35-90,90-35,90,35,2024-07-22,NA,0.34776279641831,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T135300_20,20,13H 53M 0S,35-90,90-35,90,35,2024-07-22,NA,0.356121296221436,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T135700_21,21,13H 57M 0S,35-90,90-35,90,35,2024-07-22,NA,0.640940057869193,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T140300_22,22,14H 3M 0S,35-90,90-35,90,35,2024-07-22,NA,0.491485172773385,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T140900_07,7,14H 9M 0S,25-50,50-25,50,25,2024-07-22,NA,0.411957409561571,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T143100_08,8,14H 31M 0S,25-50,50-25,50,25,2024-07-22,NA,0.555401696810449,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T143600_09,9,14H 36M 0S,25-50,50-25,50,25,2024-07-22,NA,0.448985488670614,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T144000_10,10,14H 40M 0S,25-50,50-25,50,25,2024-07-22,NA,0.499878666582632,NA
